ID;APLICA;Estado;Subaplicación;Funcionalidades;Severidad;Prioridad;Título;Descripción;Descripción PC1;Verificado PC1;Descripción PC2;Verificado PC2;Descripción PC3;Verificado PC3;Descripción P1;Entrada Manual P1;SCT TEST P1;SCT ANTE P1;Resultado Esperado P1;RESULTADO CP;Salida Obtenida P1;Descripción P2;Entrada Manual P2;SCT TEST P2;SCT ANTE P2;Resultado Esperado P2;Salida Obtenida P2;Descripción P3;Entrada Manual P3;SCT TEST P3;SCT ANTE P3;Resultado Esperado P3;Salida Obtenida P3;Comentarios;Dependencias CPs;Items
CPSCM038;;Definición;DISTRIBUIDOR;NAT:FICHEROS.AIX;Mayor;900;UN-10 Distribución a directorio con hijo sin permisos;Distribución a un directorio en el que exista un directorio hijo sin permisos (sin relación alguna con el pase);"Permisos: vtsct.gtsct 770
Directorio Destino tar: 
Ruta inicio DataView: \Pruebas_otto\wastest
Ruta Destino: /home/grpt/sct/wastest/";;;;;;"Distribución de ficheros
Grupo de Despliegue: No especificado, se mantiene el que hubiera (p e.: gpwas)";NA;;PRUEBAS_UNIX_01;"Pase finalizado correctamente. Comprobar Log de Pase y verificar que no haya errores. En el caso de warnings en el log, analizar las causas, decidir al respecto y reflejar las conclusiones en los comentarios de la ejecución.
Comprobar distribución de ficheros en las rutas correspondientes.";;;;;;;;;;;;;;;;;Automático
CPSCM039;CORE;Definición;DISTRIBUIDOR;NAT:FICHEROS.AIX;Mayor;900;UN-11 Distribución a un directorio con directorio al mismo nivel sin permisos;Distribución a un directorio en el que exista un directorio sin permisos a mismo nivel;"Permisos: vtsct.gtsct 770
Directorio Destino tar: 
Ruta inicio DataView: \Pruebas_otto\wastest
Ruta Destino: /home/grpt/sct/wastest/";;;;;;"Distribución de ficheros
Grupo de Despliegue: No especificado, se mantiene el que hubiera (p e.: gpwas)";NA;;PRUEBAS_UNIX_01;"Pase finalizado correctamente. Comprobar Log de Pase y verificar que no haya errores. En el caso de warnings en el log, analizar las causas, decidir al respecto y reflejar las conclusiones en los comentarios de la ejecución.
Comprobar distribución de ficheros en las rutas correspondientes.";;;;;;;;;;;;;;;;;Automático
CPSCM040;;Definición;DISTRIBUIDOR;NAT:FICHEROS.AIX;Mayor;900;UN-24 Ficheros con más de 100 caracteres;Distribución de ficheros con nombres de más de 100 caracteres.;LAS SIGUIENTES PRUEBAS SE HARÁN CON ELEMENTOS DE UNIX Y SHARED (o cualquier carpeta que cuelgue de ficheros y no se llame ni UNIX ni WIN). Comprobad en cada caso que se copia tanto en los destinos de Windows como de Unix.;;;;;;"Distribución de ficheros
Entornos: ANTE/PROD";NA;;PRUEBA_FICHEROS_UNI_02;"Pase finalizado correctamente. Comprobar Log de Pase y verificar que no haya errores. En el caso de warnings en el log, analizar las causas, decidir al respecto y reflejar las conclusiones en los comentarios de la ejecución.
Comprobar distribución de ficheros en las rutas correspondientes.";;;;;;;;;;;;;;;;;Automático
CPSCM041;;Definición;DISTRIBUIDOR;NAT:FICHEROS.AIX;Mayor;900;UN-25 Ficheros sin catalogar y RESTORE;Distribución de versión 1 de un grupo de ficheros, con la mitad sin catalogar para que falle el pase, comprobar que restaurar la versión 0 de TODOS los elementos.;LAS SIGUIENTES PRUEBAS SE HARÁN CON ELEMENTOS DE UNIX Y SHARED (o cualquier carpeta que cuelgue de ficheros y no se llame ni UNIX ni WIN). Comprobad en cada caso que se copia tanto en los destinos de Windows como de Unix.;;;;;;"Distribución de ficheros
Entornos: ANTE/PROD";NA;;PRUEBA_FICHEROS_UNI_03;"Pase finalizado correctamente. Comprobar Log de Pase y verificar que no haya errores. En el caso de warnings en el log, analizar las causas, decidir al respecto y reflejar las conclusiones en los comentarios de la ejecución.
Comprobar distribución de ficheros en las rutas correspondientes.";;;;;;;;;;;;;;;;;Automático
CPSCM042;CORE;Definición;DISTRIBUIDOR;NAT:FICHEROS.AIX;Mayor;900;UN-26 Distribución ficheros V0 hasta producción y marcha atrás;Distribución de version 0 hasta producción y marcha atrás, …;LAS SIGUIENTES PRUEBAS SE HARÁN CON ELEMENTOS DE UNIX Y SHARED (o cualquier carpeta que cuelgue de ficheros y no se llame ni UNIX ni WIN). Comprobad en cada caso que se copia tanto en los destinos de Windows como de Unix.;;;;;;"Distribución de ficheros
Entornos: ANTE/PROD";NA;;PRUEBA_FICHEROS_UNI_04;"Pase finalizado correctamente. Comprobar Log de Pase y verificar que no haya errores. En el caso de warnings en el log, analizar las causas, decidir al respecto y reflejar las conclusiones en los comentarios de la ejecución.
Comprobar distribución de ficheros en las rutas correspondientes.";;;;;;;;;;;;;;;;;Automático
CPSCM043;;Definición;DISTRIBUIDOR;NAT:FICHEROS.AIX;Mayor;900;UN-27 Distribución ficheros V1 hasta producción y marcha atrás;Distribución de version 1 hasta producción y marcha atrás para comprobar que deja correctamente la version 0;LAS SIGUIENTES PRUEBAS SE HARÁN CON ELEMENTOS DE UNIX Y SHARED (o cualquier carpeta que cuelgue de ficheros y no se llame ni UNIX ni WIN). Comprobad en cada caso que se copia tanto en los destinos de Windows como de Unix.;;;;;;Distribución hasta producción ficheros V1;NA;;PRUEBA_FICHEROS_UNI_05;"Pase finalizado correctamente. Comprobar Log de Pase y verificar que no haya errores. En el caso de warnings en el log, analizar las causas, decidir al respecto y reflejar las conclusiones en los comentarios de la ejecución.
Comprobar distribución de ficheros en las rutas correspondientes.";;;Marcha atrás de ficheros V1;NA;;PRUEBA_FICHEROS_UNI_05;Comprobar que se restauran correctamente los ficheros V0 existentes previamente;;;;;;;;;;Automático
CPSCM044;CORE;Definición;DISTRIBUIDOR;NAT:FICHEROS.AIX;Mayor;900;UN-28 Distribución con ficheros V0 y V1 de borrado en mismo paquete;Probar distribución de ficheros que tenga la versión 0 y la versión 1 de borrado en el mismo paquete;LAS SIGUIENTES PRUEBAS SE HARÁN CON ELEMENTOS DE UNIX Y SHARED (o cualquier carpeta que cuelgue de ficheros y no se llame ni UNIX ni WIN). Comprobad en cada caso que se copia tanto en los destinos de Windows como de Unix.;;;;;;Distribución de Ficheros;NA;;PRUEBA_FICHEROS_UNI_06;"Pase finalizado correctamente. Comprobar Log de Pase y verificar que no haya errores. En el caso de warnings en el log, analizar las causas, decidir al respecto y reflejar las conclusiones en los comentarios de la ejecución.
Comprobar distribución de ficheros en las rutas correspondientes.";;;;;;;;;;;;;;;;;Automático
CPSCM045;CORE;Definición;DISTRIBUIDOR;NAT:FICHEROS.AIX;Mayor;900;UN-29 Distribución de varios ficheros en distintas carpetas, con carpetas existentes y nuevas;Distribución de varios ficheros en distintas carpetas con carpetas ya existentes y con carpetas nuevas. Comprobar que se crean o actualizan los datos de las otras carpetas.;LAS SIGUIENTES PRUEBAS SE HARÁN CON ELEMENTOS DE UNIX Y SHARED (o cualquier carpeta que cuelgue de ficheros y no se llame ni UNIX ni WIN). Comprobad en cada caso que se copia tanto en los destinos de Windows como de Unix.;;Aplican tanto a WIN como a SHARED;;;;"Distribución de Ficheros
Aplican tanto a WIN como a SHARED";NA;;PRUEBA_FICHEROS_UNI_07;"Pase finalizado correctamente. Comprobar Log de Pase y verificar que no haya errores. En el caso de warnings en el log, analizar las causas, decidir al respecto y reflejar las conclusiones en los comentarios de la ejecución.
Comprobar distribución de ficheros en las rutas correspondientes.";;;;;;;;;;;;;;;;;Automático
CPSCM046;CORE;Definición;DISTRIBUIDOR;NAT:FICHEROS.AIX;Mayor;900;UN-30 Distribución de ficheros Windows sin destino en el formulario de infraestructura;Distribución de varios ficheros sin que estén introducido los destinos de ficheros Windows en el formulario de infraestructura. Este pase falla porque no encuentra donde debe distribuir los ficheros.;LAS SIGUIENTES PRUEBAS SE HARÁN CON ELEMENTOS DE UNIX Y SHARED (o cualquier carpeta que cuelgue de ficheros y no se llame ni UNIX ni WIN). Comprobad en cada caso que se copia tanto en los destinos de Windows como de Unix.;;Aplican tanto a WIN como a SHARED;;;;"Distribución de Ficheros
Aplican tanto a WIN como a SHARED";NA;;PRUEBA_FICHEROS_UNI_08;"Pase finalizado correctamente. Comprobar Log de Pase y verificar que no haya errores. En el caso de warnings en el log, analizar las causas, decidir al respecto y reflejar las conclusiones en los comentarios de la ejecución.
Comprobar distribución de ficheros en las rutas correspondientes.";;;;;;;;;;;;;;;;;Automático
CPSCM047;CORE;Definición;DISTRIBUIDOR;NAT:FICHEROS.AIX;Mayor;900;UN-31 Distribución de ficheros Windows sin algunos destinos en el formulario de infraestructura;Distribución de varios ficheros sin que estén todos introducidos los destinos de ficheros Windows en el formulario de infraestructura. Debería distribuir la mitad de ficheros.;LAS SIGUIENTES PRUEBAS SE HARÁN CON ELEMENTOS DE UNIX Y SHARED (o cualquier carpeta que cuelgue de ficheros y no se llame ni UNIX ni WIN). Comprobad en cada caso que se copia tanto en los destinos de Windows como de Unix.;;Aplican tanto a WIN como a SHARED;;;;"Distribución de Ficheros
Aplican tanto a WIN como a SHARED";NA;;PRUEBA_FICHEROS_UNI_09;"Pase finalizado correctamente. Comprobar Log de Pase y verificar que no haya errores. En el caso de warnings en el log, analizar las causas, decidir al respecto y reflejar las conclusiones en los comentarios de la ejecución.
Comprobar distribución de ficheros en las rutas correspondientes.";;;;;;;;;;;;;;;;;Automático
CPSCM048;;Definición;DISTRIBUIDOR;NAT:FICHEROS.WIN;Mayor;900;WIN-01 Distribución de varios ficheros en distintas carpetas, con carpetas existentes y nuevas;Distribución de varios ficheros en distintas carpetas con carpetas ya existentes y con carpetas nuevas. Comprobar que se crean o actualizan los datos de las otras carpetas.;;;Aplican tanto a WIN como a SHARED;;;;"Distribución de Ficheros
Aplican tanto a WIN como a SHARED";NA;;PRUEBA_FICHEROS_WIN_01;"Pase finalizado correctamente. Comprobar Log de Pase y verificar que no haya errores. En el caso de warnings en el log, analizar las causas, decidir al respecto y reflejar las conclusiones en los comentarios de la ejecución.
Comprobar distribución de ficheros en las rutas correspondientes.";;;;;;;;;;;;;;;;;Automático
CPSCM049;;Definición;DISTRIBUIDOR;NAT:FICHEROS.WIN;Mayor;900;WIN-02 Distribución de ficheros Windows sin destino en el formulario de infraestructura;Distribución de varios ficheros sin que estén introducido los destinos de ficheros Windows en el formulario de infraestructura. Este pase falla porque no encuentra donde debe distribuir los ficheros.;;;Aplican tanto a WIN como a SHARED;;;;"Distribución de Ficheros
Aplican tanto a WIN como a SHARED";NA;;PRUEBA_FICHEROS_WIN_02;"Pase finalizado correctamente. Comprobar Log de Pase y verificar que no haya errores. En el caso de warnings en el log, analizar las causas, decidir al respecto y reflejar las conclusiones en los comentarios de la ejecución.
Comprobar distribución de ficheros en las rutas correspondientes.";;;;;;;;;;;;;;;;;Automático
CPSCM050;;Definición;DISTRIBUIDOR;NAT:FICHEROS.WIN;Mayor;900;WIN-03 Distribución de ficheros Windows sin algunos destinos en el formulario de infraestructura;Distribución de varios ficheros sin que estén todos introducidos los destinos de ficheros Windows en el formulario de infraestructura. Debería distribuir la mitad de ficheros.;;;Aplican tanto a WIN como a SHARED;;;;"Distribución de Ficheros
Aplican tanto a WIN como a SHARED";NA;;PRUEBA_FICHEROS_WIN_03;"Pase finalizado correctamente. Comprobar Log de Pase y verificar que no haya errores. En el caso de warnings en el log, analizar las causas, decidir al respecto y reflejar las conclusiones en los comentarios de la ejecución.
Comprobar distribución de ficheros en las rutas correspondientes.";;;;;;;;;;;;;;;;;Automático
CPSCM051;;Definición;DISTRIBUIDOR;NAT:FICHEROS.WIN;Mayor;900;WIN-04 Ficheros con más de 100 caracteres;Distribución de ficheros con nombres de más de 100 caracteres.;;;;;;;Distribución de Ficheros;NA;;PRUEBA_FICHEROS_WIN_04;"Pase finalizado correctamente. Comprobar Log de Pase y verificar que no haya errores. En el caso de warnings en el log, analizar las causas, decidir al respecto y reflejar las conclusiones en los comentarios de la ejecución.
Comprobar distribución de ficheros en las rutas correspondientes.";;;;;;;;;;;;;;;;;Automático
CPSCM052;;Definición;DISTRIBUIDOR;NAT:FICHEROS.WIN;Mayor;900;WIN-05  Ficheros sin catalogar y RESTORE;Distribución de versión 1 de un grupo de ficheros, con la mitad sin catalogar para que falle el pase, comprobar que restaurar la versión 0 de TODOS los elementos.;;;;;;;"Distribución de ficheros
Entornos: ANTE/PROD";NA;;PRUEBA_FICHEROS_WIN_05;"Pase finalizado correctamente. Comprobar Log de Pase y verificar que no haya errores. En el caso de warnings en el log, analizar las causas, decidir al respecto y reflejar las conclusiones en los comentarios de la ejecución.
Comprobar distribución de ficheros en las rutas correspondientes.";;;;;;;;;;;;;;;;;Automático
CPSCM053;CORE;Definición;DISTRIBUIDOR;NAT:FICHEROS.WIN;Mayor;900;WIN-06 Distribución ficheros V0 hasta producción y marcha atrás;Distribución de version 0 hasta producción y marcha atrás, …;;;;;;;"Distribución de ficheros
Entornos: ANTE/PROD";NA;;PRUEBA_FICHEROS_WIN_06;"Pase finalizado correctamente. Comprobar Log de Pase y verificar que no haya errores. En el caso de warnings en el log, analizar las causas, decidir al respecto y reflejar las conclusiones en los comentarios de la ejecución.
Comprobar distribución de ficheros en las rutas correspondientes.";;;;;;;;;;;;;;;;;Automático
CPSCM054;CORE;Definición;DISTRIBUIDOR;NAT:FICHEROS.WIN;Mayor;900;WIN-07  Distribución ficheros V1 hasta producción y marcha atrás;Distribución de version 1 hasta producción y marcha atrás para comprobar que deja correctamente la version 0;;;;;;;"Distribución de ficheros
Entornos: ANTE/PROD";NA;;PRUEBA_FICHEROS_WIN_07;"Pase finalizado correctamente. Comprobar Log de Pase y verificar que no haya errores. En el caso de warnings en el log, analizar las causas, decidir al respecto y reflejar las conclusiones en los comentarios de la ejecución.
Comprobar distribución de ficheros en las rutas correspondientes.";;;;;;;;;;;;;;;;;Automático
CPSCM055;CORE;Definición;DISTRIBUIDOR;NAT:FICHEROS.WIN;Mayor;900;WIN-08 Distribución con ficheros V0 y V1 de borrado en mismo paquete;Probar distribución de ficheros que tenga la versión 0 y la versión 1 de borrado en el mismo paquete;;;;;;;"Distribución de ficheros
Entornos: ANTE/PROD";NA;;PRUEBA_FICHEROS_WIN_08;"Pase finalizado correctamente. Comprobar Log de Pase y verificar que no haya errores. En el caso de warnings en el log, analizar las causas, decidir al respecto y reflejar las conclusiones en los comentarios de la ejecución.
Comprobar distribución de ficheros en las rutas correspondientes.";;;;;;;;;;;;;;;;;Automático
CPSCM056;CORE;Disponible;DISTRIBUIDOR;NAT:J2EE.GEN;Mayor;900;JAV-01 Prueba Java Normal T/A/P (SCTJ2EE);Carga inicial de una subaplicacion J2EE (Tecnologia Java =J2EE), y distribución a TEST solo en una red. No se copia el config (información para distinguirlo de la prueba siguiente);"Distribución sólo para una red.
No se copia el config (información para distinguirlo de la prueba siguiente).";;;;;;"Distribución de la aplicación.
Entornos: TEST/ANTE";NA;SCT.N-000223 J2EE-6.1-NORMAL EAR (sctj2ee);PRUEBA_J2EE_NORMAL;"Comprobar carga inicial.
Pase finalizado correctamente. Comprobar Log de Pase y verificar que no haya errores. En el caso de warnings en el log, analizar las causas, decidir al respecto y reflejar las conclusiones en los comentarios de la ejecución.";;\\Cntdat01\grp1$\inf\Gen36c2\Productos\SCM\Proyecto Sistema de Gestión de Pruebas SCM\4. Pruebas\Ejecución\2ª Ejecución - 26062013\Log Pase (N_TEST0000025854).mht;"Distribución de la aplicación.
Entornos: ANTE";;SCT.N-000223 J2EE-6.1-NORMAL EAR (sctj2ee);;"
Pase finalizado correctamente. Comprobar Log de Pase y verificar que no haya errores. En el caso de warnings en el log, analizar las causas, decidir al respecto y reflejar las conclusiones en los comentarios de la ejecución.";25883;;;;;;;;;Automático
CPSCM057;CORE;Disponible;DISTRIBUIDOR;NAT:J2EE.GEN;Mayor;900;JAV-11 Prueba J2EE-BDE (SCTJ2EE);Modificamos la tecnología, a J2EE_BDE. Comprobamos que solo para una red al seleccionar esta tecnologia el directorio Config se copiará en el pase.;Distribución sólo en una red y modificar la tecnología a J2EE_BDE;;;;;;"Distribución de la aplicación.
Entornos: TEST/ANTE/PROD";NA;SCT.N-000223 J2EE-6.1-NORMAL EAR (sctj2ee);PRUEBA_J2EE_NORMAL;Pase finalizado correctamente. Comprobar Log de Pase y verificar que no haya errores. En el caso de warnings en el log, analizar las causas, decidir al respecto y reflejar las conclusiones en los comentarios de la ejecución.;;;;;;;;;;;;;;;;;Automático
CPSCM058;CORE;Disponible;DISTRIBUIDOR;NAT:J2EE.GEN;Mayor;900;JAV-21 Prueba IAS  para red interna, red vpn y www (SCT_IAS);Carga inicial  (tecnologia IAS) y distribucion en Red Interna,VPN,W3. La subaplicacion sct_ias estará definida con las 3 redes en el formulario. Sólo se hará un único pase y se comprobará que está distribuyendo a las 3.Al seleccionar esta tecnologia comprobaremos en el pase que el directorio Config se copiará.;Formulario de aplicación (SCT_IAS) definido con las 3 redes.;;;;;;"Distribución de la aplicación. Un único pase para las tres redes.
Entornos: TEST/ANTE/PROD";NA;SCT.N-000221 J2EE-6.1-IAS (sct_ias);PRUEBA_J2EE_IAS;"Pase finalizado correctamente. Comprobar Log de Pase y verificar que no haya errores. En el caso de warnings en el log, analizar las causas, decidir al respecto y reflejar las conclusiones en los comentarios de la ejecución.
Se debe comprobar que está distribuyendo a las tres redes inicialmente indicadas y que, al seleccionar dicha tecnología,  el directorio config se copia.";;;;;;;;;;;;;;;;;Automático
CPSCM059;;Definición;DISTRIBUIDOR;NAT:J2EE.GEN;Mayor;900;JAV-22 Prueba IAS de distribución sin precompilación.;Probar distribución sin precompilación (utilizando la expresión regular de variables de distribuidor IAS_EVITAR_PRECOMP_CONREINICIO y IAS_EVITAR_PRECOMP_SINREINICIO) y comprobar que hace despliegue RAPIDO. En prod debe ignorarlas y hace precomp SIEMPRE.;"Utilizar la expresión regular de variables del distribuidor:
IAS_EVITAR_PRECOMP_CONREINICIO Y IAS_EVITAR_PRECOMP_SINREINICIO";;;;;;"Distribución sin precompilación utilizando la expresión regular de variables de distribuidor:
IAS_EVITAR_PRECOMP_CONREINICIO Y
IAS_EVITAR_PRECOMP_SINREINICIO.
Entornos: TEST/ANTE/PROD";NA;SCT.N-000222 J2EE-6.1-NORMAL ESTÁTICO (sctj2ee);PRUEBA_J2EE_IAS;"Pase finalizado correctamente. Comprobar Log de Pase y verificar que no haya errores. En el caso de warnings en el log, analizar las causas, decidir al respecto y reflejar las conclusiones en los comentarios de la ejecución.
Se debe comprobar que se realiza un pase RÁPIDO.
En PROD debe ignorar las variables señaladas y hacer PRECOMPILACION siempre.";;;;;;;;;;;;;;;;;Automático
CPSCM060;;Definición;DISTRIBUIDOR;NAT:J2EE.GEN;Mayor;900;JAV-31 Prueba EDW4J (SCT_EDW);Este tipo de subaplicación llama al edw4j. La prueba es para comprobar que cualquier aplicación de este tipo funciona en los cambios realizados en el distribuidor. ;;;;;;;"Distribución de la aplicación. Esta aplicación llama al EDW4J.
Entornos: TEST/ANTE/PROD";NA;;PRUEBA_J2EE_EDW;Pase finalizado correctamente. Comprobar Log de Pase y verificar que no haya errores. En el caso de warnings en el log, analizar las causas, decidir al respecto y reflejar las conclusiones en los comentarios de la ejecución.;;;;;;;;;;;;;;;;;Automático
