ID;APLICA;Estado;Subaplicación;Funcionalidades;Severidad;Prioridad;Título;Descripción;Descripción PC1;Verificado PC1;Descripción PC2;Verificado PC2;Descripción PC3;Verificado PC3;Descripción P1;Entrada Manual P1;SCT TEST P1;SCT ANTE P1;Resultado Esperado P1;RESULTADO CP;Salida Obtenida P1;Descripción P2;Entrada Manual P2;SCT TEST P2;SCT ANTE P2;Resultado Esperado P2;Salida Obtenida P2;Descripción P3;Entrada Manual P3;SCT TEST P3;SCT ANTE P3;Resultado Esperado P3;Salida Obtenida P3;Comentarios;Dependencias CPs;Items
CPSCM001;;Definición;DISTRIBUIDOR;NAT:BIZTALK;Mayor;900;BIZ-0.01 Solo Biztalk 2006 (SCTBIZT) TEST;Esta prueba consiste en la carga inicial y en la distribución a test de una subaplicación biztalk sin catalogar ni en el formulario de paquete ni en el formulario de infra;Subaplicación Biztalk sin catalogar en el formulario de paquete;;Aplicación sin catalogar en el formulario de infra;;;;Distribución de la aplicación;NA;;PRUEBA_BIZTALK_2006;Pase finalizado correctamente. Comprobar Log de Pase y verificar que no haya errores. En el caso de warnings en el log, analizar las causas, decidir al respecto y reflejar las conclusiones en los comentarios de la ejecución.;;;;;;;;;;;;;;;;;Automático
CPSCM002;;Definición;DISTRIBUIDOR;NAT:BIZTALK;Mayor;900;BIZ-0.02 Solo Biztalk 2010 (SCTBZ10) TEST;Esta prueba consiste en la carga inicial y en la distribución a test de una subaplicación biztalk sin catalogar ni en el formulario de paquete ni en el formulario de infra;Subaplicación Biztalk sin catalogar en el formulario de paquete;;Aplicación sin catalogar en el formulario de infra;;;;Distribución de la aplicación;NA;;PRUEBA_BIZTALK_2010;Pase finalizado correctamente. Comprobar Log de Pase y verificar que no haya errores. En el caso de warnings en el log, analizar las causas, decidir al respecto y reflejar las conclusiones en los comentarios de la ejecución.;;;;;;;;;;;;;;;;;Automático
CPSCM003;;Definición;DISTRIBUIDOR;NAT:BIZTALK;Mayor;900;BIZ-0.11 Solo Biztalk 2006 (SCTBIZT) TEST;Esta prueba consiste en la carga inicial y en la distribución a test de una subaplicación biztalk sin catalogar en el formulario de paquete ;Subaplicación Biztalk sin catalogar en el formulario de paquete;;;;;;Distribución de la aplicación;NA;;PRUEBA_BIZTALK_2006;Pase finalizado correctamente. Comprobar Log de Pase y verificar que no haya errores. En el caso de warnings en el log, analizar las causas, decidir al respecto y reflejar las conclusiones en los comentarios de la ejecución.;;;;;;;;;;;;;;;;;Automático
CPSCM004;;Definición;DISTRIBUIDOR;NAT:BIZTALK;Mayor;900;BIZ-0.12 Solo Biztalk 2010 (SCTBZ10) TEST;Esta prueba consiste en la carga inicial y en la distribución a test de una subaplicación biztalk sin catalogar ni en el formulario de paquete ;Subaplicación Biztalk sin catalogar en el formulario de paquete;;;;;;Distribución de la aplicación;NA;;PRUEBA_BIZTALK_2010;Pase finalizado correctamente. Comprobar Log de Pase y verificar que no haya errores. En el caso de warnings en el log, analizar las causas, decidir al respecto y reflejar las conclusiones en los comentarios de la ejecución.;;;;;;;;;;;;;;;;;Automático
CPSCM005;CORE;Definición;DISTRIBUIDOR;NAT:BIZTALK;Mayor;900;BIZ-01 Solo Biztalk 2006 (SCTBIZT) TEST;Esta prueba consiste en la distribución a test de una subaplicación biztalk 2006 catalogada correctamente;Subaplicación Biztalk 2006 catalogada correctamente en el formulario de paquete ;;Aplicación catalogada correctamente en el formulario de infra;;;;Distribución de la aplicación;NA;"SCT.N-000227 BIZTALK-2006
(NO FUNCIONA - MIRA LUISMI)";PRUEBA_BIZTALK_2006;Pase finalizado correctamente. Comprobar Log de Pase y verificar que no haya errores. En el caso de warnings en el log, analizar las causas, decidir al respecto y reflejar las conclusiones en los comentarios de la ejecución.;;;;;;;;;;;;;;;;;Automático
CPSCM006;CORE;Disponible;DISTRIBUIDOR;NAT:BIZTALK;Mayor;900;BIZ-02 Solo Biztalk 2010 (SCTBZ10) TEST;Esta prueba consiste en la distribución a test de una subaplicación biztalk 2010 catalogada correctamente;Subaplicación Biztalk 2010 catalogada correctamente en el formulario de paquete ;OK;Aplicación catalogada correctamente en el formulario de infraestructura.;OK;;;Distribución de la aplicación;NA;SCT.N-000226 BIZTALK-2010;PRUEBA_BIZTALK_2010;Pase finalizado correctamente. Comprobar Log de Pase y verificar que no haya errores. En el caso de warnings en el log, analizar las causas, decidir al respecto y reflejar las conclusiones en los comentarios de la ejecución.;Correcto;\\Cntdat01\grp1$\inf\Gen36c2\Productos\SCM\Proyecto Sistema de Gestión de Pruebas SCM\4. Pruebas\Ejecución\2ª Ejecución - 26062013\Log Pase (N_TEST0000025841).mht;;;;;;;;;;;;;"Se revisa el log y el pase se da por finalizado con éxito. Sólo muestra un warning de ""Error parando la aplicación Bde.Aps.SCTBZ10"".";;Automático
CPSCM007;;Definición;DISTRIBUIDOR;NAT:BIZTALK;Mayor;900;BIZ-03 Solo Biztalk 2006 (SCTBIZT) TEST;Esta prueba consiste en la distribución a test de una subaplicación biztalk 2006 catalogada correctamente, sin definir el servidor de staging correctamente;Subaplicación Biztalk 2006 catalogada correctamente;;Subaplicación Biztalk 2006 sin definir en el servidor de staging correctamente;;;;Distribución de la aplicación;NA;;PRUEBA_BIZTALK_2006;Pase finalizado correctamente. Comprobar Log de Pase y verificar que no haya errores. En el caso de warnings en el log, analizar las causas, decidir al respecto y reflejar las conclusiones en los comentarios de la ejecución.;;;;;;;;;;;;;;;;;Automático
CPSCM008;;Definición;DISTRIBUIDOR;NAT:BIZTALK;Mayor;900;BIZ-04 Solo Biztalk 2010 (SCTBZ10) TEST;Esta prueba consiste en la distribución a test de una subaplicación biztalk 2010 catalogada correctamente, sin definir el servidor de staging correctamente;Subaplicación Biztalk 2010 catalogada correctamente;;Subaplicación Biztalk 2010 sin definir en el servidor de staging correctamente;;;;Distribución de la aplicación;NA;;PRUEBA_BIZTALK_2010;Pase finalizado correctamente. Comprobar Log de Pase y verificar que no haya errores. En el caso de warnings en el log, analizar las causas, decidir al respecto y reflejar las conclusiones en los comentarios de la ejecución.;;;;;;;;;;;;;;;;;Automático
CPSCM009;;Definición;DISTRIBUIDOR;NAT:BIZTALK;Mayor;900;BIZ-05 Solo Biztalk 2006 (SCTBIZT) TEST;Esta prueba consiste en la distribución a test de una subaplicación biztalk 2006 catalogada correctamente con todos los parametros definidos correctamente.;Subaplicación Biztalk 2006 catalogada correctamente con todos los parámetros bien establecidos.;;;;;;Distribución de la aplicación;NA;;PRUEBA_BIZTALK_2006;Pase finalizado correctamente. Comprobar Log de Pase y verificar que no haya errores. En el caso de warnings en el log, analizar las causas, decidir al respecto y reflejar las conclusiones en los comentarios de la ejecución.;;;;;;;;;;;;;;;;;Automático
CPSCM010;;Definición;DISTRIBUIDOR;NAT:BIZTALK;Mayor;900;BIZ-06 Solo Biztalk 2010 (SCTBZ10) TEST;Esta prueba consiste en la distribución a test de una subaplicación biztalk 2010 catalogada correctamente con todos los parametros definidos correctamente.;Subaplicación Biztalk 2010 catalogada correctamente con todos los parámetros bien establecidos.;;;;;;Distribución de la aplicación;NA;;PRUEBA_BIZTALK_2010;Pase finalizado correctamente. Comprobar Log de Pase y verificar que no haya errores. En el caso de warnings en el log, analizar las causas, decidir al respecto y reflejar las conclusiones en los comentarios de la ejecución.;;;;;;;;;;;;;;;;;Automático
